EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
502429,DALLAS (ZONE), ,02/10/2014,2030,Winter Weather, , ,0,0,0,0,TX,CST-6, ,83272,Z,119,FWD,0,1,Broadcast Media, , , , , , , , , , , , ,"A firefighter fell to his death off an icy overpass along Walton Walker Boulevard in southwest Dallas. He was attending responding to a wreck on the bridge and was hit by an oncoming car that was also sliding on the icy bridge.","Freezing drizzle resulted in icy road conditions across the DFW Metroplex. Three people in the region died.",1
500617,DALLAS (ZONE), ,02/25/2014,0,Drought, , ,0,0,0,1000,TX,CST-6, ,83015,Z,119,FWD,0,0,Drought Monitor, , , , , , , , , , , , ,"According to the U.S. Drought Monitor, the county began the month in moderate drought (D1) but ended the month in severe drought (D2). Less than an inch of rain fell during February and which allowed for the drought conditions to deteriorate.","Very little rain fell during the month of February and many counties in North Texas experienced worsening drought conditions. Moderate drought (D1) deteriorated to severe drought (D2) by the 25th of the month across the central portions of the Fort Worth County Warning Area.",2
507343,DALLAS (ZONE), ,03/01/2014,0,Drought, , ,0,0,0,4000,TX,CST-6, ,84013,Z,119,FWD,0,0,Drought Monitor, , , , , , , , , , , , ,"According to the U.S. Drought Monitor the county began the month in severe drought (D2). Less than two inches of rain fell during the month and conditions remained the same at the end of the month.","The month of March is typically the fourth wettest month of the year, but totals across North Texas were about two inches below normal. This led to deteriorating drought conditions across the area with many counties ending the month in extreme drought (D3). Lake levels continued to be well below full capacities with most municipalities under mandatory water restrictions.",3
513010,DALLAS (ZONE), ,04/01/2014,0,Drought, , ,0,0,0,3000,TX,CST-6, ,84933,Z,119,FWD,0,0,Drought Monitor, , , , , , , , , , , , ,"After beginning April 2014 in Severe/D2 drought, much of Dallas County improved to Moderate/D1 after a week of receiving nice rainfall. Conditions quickly deteriorated back to Severe/D2 by the middle of April, with much of the county falling into Extreme/D3 by the end of the month.","Drought conditions became worse over several counties in the western and northwestern portions of North Texas. Little change in drought conditions occurred over the rest of the region.",4
514512,DALLAS CO.,GRAND PRAIRIE,04/27/2014,745,Hail,1.00, ,0,0,0,0,TX,CST-6, ,85201,C,113,FWD,0,0,Trained Spotter, , , ,0,N,0,N,GRAND PRAIRIE,32.75,-96.98,32.75,-96.98,"Trained spotters reported hail as large as quarters, although the hail ranged in size.","A complex of severe thunderstorms developed along a cold front in the afternoon and evening hours of April 27th and the early morning hours of April 28th. The storms produced numerous reports of large hail, up to the size of baseballs.",5
514510,DALLAS CO.,DALLAS,04/27/2014,823,Hail,0.75, ,0,0,0,0,TX,CST-6, ,85201,C,113,FWD,0,0,Public, , , ,0,N,0,N,DALLAS,32.77,-96.78,32.77,-96.78,"","A complex of severe thunderstorms developed along a cold front in the afternoon and evening hours of April 27th and the early morning hours of April 28th. The storms produced numerous reports of large hail, up to the size of baseballs.",6
518431,DALLAS (ZONE), ,05/01/2014,0,Drought, , ,0,0,0,3000,TX,CST-6, ,85528,Z,119,FWD,0,0,Drought Monitor, , , , , , , , , , , , ,"Extreme/D3 drought in place across Dallas County at the beginning of May improved to Severe/D2 status over all but the far northern reaches of the county during the first week of the month. Conditions remained as such through the end of the month.","Many areas across north Texas, particularly the southeastern half of the region, saw improving conditions in the ongoing drought due to above-normal monthly rainfall. Waco, TX, for instance received 7.75 inches of rain, which is nearly three and a half inches above normal for May. The northwestern half of the CWA received significantly less rainfall, keeping the severe to extreme drought conditions generally in place.",7
523010,DALLAS CO.,(DAL)LOVE FLD DALLAS,05/08/2014,740,Heavy Rain, , ,0,0,0,0,TX,CST-6, ,85531,C,113,FWD,0,1,Newspaper, , , ,3,NNW,3,NNW,(DAL)LOVE FLD DALLAS,32.8951,-96.8623,32.8951,-96.8623,"A vehicle crashed into a tree on rain-slicked roads, resulting in the death of a 19-year-old female passenger.","Large scale lift ahead of an upper level shortwave, combined with ample instability and adequate moisture across the region, resulted in numerous thunderstorms across the region. Scattered convection developed in the afternoon hours but a linear MCS had formed by the late afternoon hours. Hail up to the size of golf balls was reported but the most significant damage occurred in Dallas County due to damaging wind gusts. A weak tornado produced minor damage in west Dallas, but damaging downburst winds produced numerous tree damage and brought down power lines across areas in and around the city of Dallas. Heavy rainfall also produced flash flooding in Dallas and also in Hunt County. One fatality was reported in the Dallas area due to a car crash on a wet roadway.",8
520186,DALLAS CO.,ARCADIA PARK,05/08/2014,1415,Tornado, ,EF0,0,0,80000,0,TX,CST-6, ,85531,C,113,FWD,0,0,NWS Storm Survey, ,0.46,120,1,NE,1,SW,EAGLE FORD,32.757,-96.889,32.76,-96.882,"A National Weather Service Storm Survey found evidence of a tornado that produced EF-0 damage to a warehouse building. Several windows were blown out of a warehouse in Cockrell Hill. The building suffered roof damage as well, as the tornado moved generally from the southwest to the northeast.","Large scale lift ahead of an upper level shortwave, combined with ample instability and adequate moisture across the region, resulted in numerous thunderstorms across the region. Scattered convection developed in the afternoon hours but a linear MCS had formed by the late afternoon hours. Hail up to the size of golf balls was reported but the most significant damage occurred in Dallas County due to damaging wind gusts. A weak tornado produced minor damage in west Dallas, but damaging downburst winds produced numerous tree damage and brought down power lines across areas in and around the city of Dallas. Heavy rainfall also produced flash flooding in Dallas and also in Hunt County. One fatality was reported in the Dallas area due to a car crash on a wet roadway.",9
522742,DALLAS CO.,EAGLE FORD,05/08/2014,1418,Thunderstorm Wind,78.00, ,0,0,80000,0,TX,CST-6,EG,85531,C,113,FWD,0,0,NWS Storm Survey, , , ,2,N,2,N,EAGLE FORD,32.7928,-96.8742,32.7928,-96.8742,"A National Weather Service survey crew determined a microburst hit a subdivision in the City of Dallas. A church, located on the corner of Westmoreland Road and Canada Drive, was heavily damaged. The brick facade in the front of the building was torn off. In the neighborhood next to the church, heavy tree damage was noted with damage also sustained to roofs, siding, and outbuildings.","Large scale lift ahead of an upper level shortwave, combined with ample instability and adequate moisture across the region, resulted in numerous thunderstorms across the region. Scattered convection developed in the afternoon hours but a linear MCS had formed by the late afternoon hours. Hail up to the size of golf balls was reported but the most significant damage occurred in Dallas County due to damaging wind gusts. A weak tornado produced minor damage in west Dallas, but damaging downburst winds produced numerous tree damage and brought down power lines across areas in and around the city of Dallas. Heavy rainfall also produced flash flooding in Dallas and also in Hunt County. One fatality was reported in the Dallas area due to a car crash on a wet roadway.",10
519307,DALLAS CO.,(DAL)LOVE FLD DALLAS,05/08/2014,1420,Thunderstorm Wind,52.00, ,0,0,50000,0,TX,CST-6,EG,85531,C,113,FWD,0,0,Public, , , ,1,SW,1,SW,(DAL)LOVE FLD DALLAS,32.8408,-96.861,32.8408,-96.861,"Sixty mph winds were estimated near Dallas Love Field (KDAL).","Large scale lift ahead of an upper level shortwave, combined with ample instability and adequate moisture across the region, resulted in numerous thunderstorms across the region. Scattered convection developed in the afternoon hours but a linear MCS had formed by the late afternoon hours. Hail up to the size of golf balls was reported but the most significant damage occurred in Dallas County due to damaging wind gusts. A weak tornado produced minor damage in west Dallas, but damaging downburst winds produced numerous tree damage and brought down power lines across areas in and around the city of Dallas. Heavy rainfall also produced flash flooding in Dallas and also in Hunt County. One fatality was reported in the Dallas area due to a car crash on a wet roadway.",11
